Company,Symbol,Date,Price,Open,High,Low,Vol.,Change %,Country
Attock Petroleum,APL,2016-01-01 00:00:00,332.34,333.34,333.34,332.01,0.75K,-0.0131,Pakistan
Attock Petroleum,APL,2016-01-05 00:00:00,330.61,330,333.33,328.67,6.15K,-0.0052,Pakistan
Attock Petroleum,APL,2016-01-06 00:00:00,328,330,330,326,3.75K,-0.0079,Pakistan
Attock Petroleum,APL,2016-01-07 00:00:00,324,326.67,326.67,323.33,7.95K,-0.0122,Pakistan
Attock Petroleum,APL,2016-01-08 00:00:00,320.01,322,322,320.01,2.85K,-0.0123,Pakistan
Attock Petroleum,APL,2016-01-11 00:00:00,319.28,313.37,320,313.37,30.30K,-0.0023,Pakistan
Attock Petroleum,APL,2016-01-12 00:00:00,311.33,314.33,318.67,311.33,8.40K,-0.0249,Pakistan
Attock Petroleum,APL,2016-01-13 00:00:00,307.57,311.33,311.33,307.44,4.80K,-0.0121,Pakistan
Attock Petroleum,APL,2016-01-14 00:00:00,299.33,307.33,307.33,299.33,19.50K,-0.0268,Pakistan
Attock Petroleum,APL,2016-01-15 00:00:00,289.27,303.33,303.33,284.67,10.20K,-0.0336,Pakistan
Attock Petroleum,APL,2016-01-18 00:00:00,283.33,274.81,283.33,274.81,11.70K,-0.0205,Pakistan
Attock Petroleum,APL,2016-01-19 00:00:00,293.14,290,293.33,289.31,6.30K,0.0346,Pakistan
Attock Petroleum,APL,2016-01-20 00:00:00,290,281.77,296.67,290,3.45K,-0.0107,Pakistan
Attock Petroleum,APL,2016-01-21 00:00:00,284.67,283.17,296.67,284.67,3.60K,-0.0184,Pakistan
Attock Petroleum,APL,2016-01-22 00:00:00,293.31,290,296.67,290,2.70K,0.0304,Pakistan
Attock Petroleum,APL,2016-01-25 00:00:00,296.7,300,302.03,296.7,2.55K,0.0116,Pakistan
Attock Petroleum,APL,2016-01-26 00:00:00,292.67,293.33,293.33,292,1.05K,-0.0136,Pakistan
Attock Petroleum,APL,2016-01-27 00:00:00,293.44,292.67,296.1,292.67,3.30K,0.0026,Pakistan
Attock Petroleum,APL,2016-01-28 00:00:00,293.33,293.33,293.33,293.33,0.60K,-0.0004,Pakistan
Attock Petroleum,APL,2016-01-29 00:00:00,289.33,295.67,295.67,289.33,5.10K,-0.0136,Pakistan
Attock Petroleum,APL,2016-02-01 00:00:00,291,290,291,289.33,3.15K,0.0058,Pakistan
Attock Petroleum,APL,2016-02-02 00:00:00,291.21,290.67,292.65,290.33,0.45K,0.0007,Pakistan
Attock Petroleum,APL,2016-02-03 00:00:00,296,293.31,296,291.33,2.25K,0.0164,Pakistan
Attock Petroleum,APL,2016-02-04 00:00:00,294.67,297.33,298.67,292.67,11.55K,-0.0045,Pakistan
Attock Petroleum,APL,2016-02-08 00:00:00,294.7,294.4,299.33,294.4,2.25K,0.0001,Pakistan
Attock Petroleum,APL,2016-02-09 00:00:00,295.75,298.33,298.67,295.33,13.20K,0.0036,Pakistan
Attock Petroleum,APL,2016-02-10 00:00:00,299.65,296.1,301.33,296.1,7.05K,0.0132,Pakistan
Attock Petroleum,APL,2016-02-11 00:00:00,297.69,300,301.43,297.34,4.95K,-0.0065,Pakistan
Attock Petroleum,APL,2016-02-12 00:00:00,286.86,296.67,296.67,284,17.55K,-0.0364,Pakistan
Attock Petroleum,APL,2016-02-15 00:00:00,293.33,289.99,294,289.99,7.35K,0.0226,Pakistan
Attock Petroleum,APL,2016-02-16 00:00:00,294.67,300,300,294.67,21.60K,0.0046,Pakistan
Attock Petroleum,APL,2016-02-17 00:00:00,294.33,298.67,299.33,294.33,2.40K,-0.0012,Pakistan
Attock Petroleum,APL,2016-02-18 00:00:00,289.33,293.34,300,288.37,9.75K,-0.017,Pakistan
Attock Petroleum,APL,2016-02-19 00:00:00,286.67,288.67,293,285.33,28.05K,-0.0092,Pakistan
Attock Petroleum,APL,2016-02-22 00:00:00,285.41,284,289.33,281.33,47.25K,-0.0044,Pakistan
Attock Petroleum,APL,2016-02-23 00:00:00,270,276.67,276.67,265.33,23.10K,-0.054,Pakistan
Attock Petroleum,APL,2016-02-24 00:00:00,276.33,273.33,276.67,273.33,12.60K,0.0234,Pakistan
Attock Petroleum,APL,2016-02-25 00:00:00,276.49,279.93,279.93,274.27,14.85K,0.0006,Pakistan
Attock Petroleum,APL,2016-02-26 00:00:00,279.99,278.67,279.99,278,10.95K,0.0127,Pakistan
Attock Petroleum,APL,2016-02-29 00:00:00,280,280,280,279.33,47.85K,0,Pakistan
Attock Petroleum,APL,2016-03-01 00:00:00,279,276.67,279,279.33,2.85K,-0.0036,Pakistan
Attock Petroleum,APL,2016-03-02 00:00:00,282.67,279,283.32,279,492.45K,0.0132,Pakistan
Attock Petroleum,APL,2016-03-03 00:00:00,284.8,282.67,288,280.01,5.40K,0.0075,Pakistan
Attock Petroleum,APL,2016-03-04 00:00:00,289.31,285.07,289.33,285.07,7.80K,0.0158,Pakistan
Attock Petroleum,APL,2016-03-07 00:00:00,293.31,293.33,297.33,290.05,28.20K,0.0138,Pakistan
Attock Petroleum,APL,2016-03-08 00:00:00,296.5,296.66,296.67,294,3.90K,0.0109,Pakistan
Attock Petroleum,APL,2016-03-09 00:00:00,288.73,294,294,281.68,9.15K,-0.0262,Pakistan
Attock Petroleum,APL,2016-03-10 00:00:00,283.17,286.66,286.66,281.41,8.70K,-0.0193,Pakistan
Attock Petroleum,APL,2016-03-11 00:00:00,281.01,283.33,283.33,280.67,18.45K,-0.0076,Pakistan
Attock Petroleum,APL,2016-03-14 00:00:00,282.45,281.33,284.53,281.33,2.85K,0.0051,Pakistan
Attock Petroleum,APL,2016-03-15 00:00:00,282.77,280.07,283.33,280,3.45K,0.0011,Pakistan
