iter	RMSE
0	214.1277495
1	200.038214
2	186.8498457
3	174.7032264
4	163.40766
5	153.0184243
6	143.1552844
7	134.0075322
8	125.5861995
9	117.6549088
10	110.2926983
11	103.4866012
12	97.23675492
13	91.39679047
14	85.97289969
15	80.97926233
16	76.40442849
17	72.08804048
18	68.17839518
19	64.57647365
20	61.22873927
21	58.19489053
22	55.35530062
23	52.81113012
24	50.46040771
25	48.28466237
26	46.35014618
27	44.59301661
28	42.95808516
29	41.49477954
30	40.19153344
31	38.92184225
32	37.82412888
33	36.86523487
34	35.90249362
35	35.09381602
36	34.23386946
37	33.61263151
38	32.915517
39	32.31908312
40	31.87393902
41	31.39487178
42	31.04188702
43	30.62988195
44	30.34970291
45	30.02491252
46	29.67234947
47	29.35155409
48	29.16779428
49	29.00218577
50	28.76525623
51	28.60672541
52	28.44763777
53	28.3505836
54	28.24952758
55	28.09685821
56	28.01308847
57	27.87737559
58	27.81067513
59	27.76432796
60	27.70682912
61	27.59926227
62	27.4885055
63	27.43688437
64	27.3841666
65	27.3284461
66	27.22800504
67	27.18875032
68	27.16134876
69	27.14272361
70	27.08789415
71	27.06780808
72	27.04483516
73	27.01891646
74	27.00187237
75	26.98154077
76	26.97243401
77	26.86023063
78	26.83739177
79	26.81772596
80	26.78607848
81	26.76590744
82	26.72104267
83	26.66873008
84	26.64992031
85	26.55777909
86	26.55344482
87	26.55039151
88	26.52144937
89	26.51447959
90	26.48545988
91	26.45698588
92	26.44592889
93	26.35966371
94	26.34138619
95	26.32431218
96	26.32194071
97	26.29740128
98	26.28312672
99	26.27413463
100	26.25505771
101	26.25307963
102	26.23788716
103	26.21204187
104	26.20155204
105	26.19010742
106	26.17730261
107	26.16627068
108	26.1625384
109	26.16096622
110	26.15168412
111	26.14894454
112	26.1468436
113	26.14367717
114	26.11407443
115	26.07215731
116	26.05138692
117	26.0420169
118	26.04020083
119	26.01792049
120	26.0155005
121	26.01331173
122	25.99578655
123	25.97461075
124	25.97305624
125	25.94764651
126	25.93228102
127	25.92014998
128	25.91405015
129	25.88801785
130	25.88497269
131	25.86559775
132	25.83574245
133	25.79970747
134	25.79525691
135	25.79329474
136	25.72699207
137	25.72543571
138	25.71397169
139	25.68115594
140	25.66777976
141	25.62482047
142	25.61287003
143	25.61040366
144	25.5997661
145	25.5448837
146	25.46286403
147	25.45711167
148	25.4010899
149	25.3843145
150	25.32275579
151	25.27145083
152	25.18498079
153	25.15247714
154	25.09449128
155	25.07273262
156	24.99218688
157	24.98915433
158	24.9867831
159	24.95794521
160	24.93173018
161	24.869906
162	24.82066841
163	24.77099891
164	24.7231549
165	24.69748559
166	24.65372202
167	24.6423433
168	24.6168581
169	24.58931384
170	24.54210001
171	24.51476623
172	24.48919704
173	24.46075359
174	24.41300825
175	24.3555805
176	24.33233126
177	24.31633334
178	24.30622498
179	24.28398114
180	24.26910326
181	24.2477273
182	24.23382383
