iter	Passed	Remaining
0	196	196570
1	206	102878
2	213	70862
3	221	55218
4	228	45508
5	236	39258
6	244	34626
7	253	31390
8	261	28844
9	270	26740
10	278	25065
11	287	23633
12	294	22344
13	302	21321
14	311	20440
15	319	19659
16	326	18907
17	334	18266
18	342	17661
19	351	17236
20	360	16788
21	368	16375
22	376	16000
23	385	15662
24	392	15306
25	403	15129
26	410	14809
27	423	14705
28	432	14482
29	439	14215
30	448	14018
31	456	13795
32	464	13602
33	473	13451
34	482	13292
35	489	13107
36	497	12948
37	504	12777
38	513	12643
39	526	12626
40	541	12674
41	554	12639
42	563	12551
43	571	12411
44	579	12294
45	588	12204
46	597	12111
47	604	11996
48	613	11913
49	621	11803
50	629	11714
51	637	11614
52	645	11525
53	652	11424
54	660	11341
55	667	11253
56	674	11163
57	684	11116
58	692	11039
59	700	10967
60	707	10888
61	715	10826
62	723	10763
63	731	10701
64	738	10629
65	747	10580
66	754	10512
67	763	10462
68	770	10397
69	785	10436
70	799	10460
71	862	11112
72	908	11530
73	928	11620
74	961	11859
75	991	12052
76	1014	12157
77	1054	12459
78	1068	12455
79	1076	12377
80	1085	12310
81	1094	12251
82	1102	12177
83	1110	12108
84	1117	12032
85	1126	11970
86	1133	11896
87	1142	11837
88	1149	11765
89	1157	11702
90	1164	11634
91	1172	11572
92	1182	11527
93	1190	11475
94	1200	11434
95	1210	11396
96	1220	11363
97	1231	11336
98	1242	11304
99	1250	11256
100	1263	11244
101	1274	11222
102	1283	11180
103	1295	11163
104	1303	11110
105	1311	11058
106	1319	11011
107	1329	10976
108	1338	10940
109	1345	10885
110	1353	10836
111	1360	10785
112	1368	10742
113	1376	10697
114	1383	10646
115	1391	10604
116	1399	10558
117	1409	10535
118	1418	10500
119	1426	10464
120	1435	10424
121	1442	10382
122	1450	10342
123	1457	10299
124	1467	10271
125	1474	10227
126	1482	10193
127	1490	10154
128	1498	10118
129	1508	10095
130	1516	10061
131	1524	10021
132	1533	9994
133	1540	9955
134	1548	9919
135	1555	9883
136	1563	9851
137	1572	9821
138	1580	9788
139	1588	9759
140	1597	9730
141	1604	9696
142	1612	9664
143	1622	9646
144	1631	9619
145	1638	9583
146	1646	9554
147	1653	9518
148	1661	9488
149	1669	9461
150	1678	9437
151	1686	9410
152	1695	9387
153	1703	9358
154	1712	9334
155	1724	9330
156	1734	9315
157	1744	9294
158	1752	9269
159	1761	9247
160	1768	9217
161	1777	9194
162	1785	9167
163	1793	9144
164	1801	9117
165	1811	9101
166	1819	9076
167	1827	9052
168	1836	9030
169	1845	9010
170	1853	8983
171	1864	8975
172	1880	8987
173	1888	8966
174	1897	8945
175	1905	8919
176	1916	8913
177	1925	8893
178	1935	8878
179	1945	8862
180	1952	8833
181	1962	8819
182	1969	8792
183	1978	8776
184	1985	8748
185	1994	8728
186	2001	8702
187	2009	8679
188	2017	8656
189	2025	8635
190	2034	8616
191	2042	8596
192	2049	8571
193	2057	8548
194	2065	8525
195	2073	8507
196	2081	8484
197	2089	8465
198	2097	8440
199	2105	8420
200	2112	8398
201	2122	8385
202	2132	8370
203	2145	8370
204	2155	8359
205	2165	8346
206	2177	8339
207	2189	8336
208	2198	8319
209	2209	8311
210	2219	8298
211	2228	8282
212	2237	8266
213	2257	8292
214	2273	8299
215	2281	8282
216	2292	8272
217	2300	8252
218	2308	8233
219	2317	8215
220	2325	8198
221	2334	8182
222	2341	8158
223	2349	8140
224	2359	8128
225	2368	8111
226	2375	8089
227	2384	8072
228	2391	8052
229	2400	8037
230	2407	8014
231	2415	7997
232	2424	7980
233	2434	7967
234	2441	7946
235	2449	7931
236	2458	7916
237	2467	7899
238	2474	7879
239	2483	7862
240	2490	7843
241	2499	7828
242	2506	7808
243	2514	7791
244	2521	7771
245	2533	7765
246	2540	7745
247	2549	7729
248	2559	7718
249	2567	7701
250	2574	7681
251	2582	7666
252	2591	7651
253	2599	7634
254	2607	7617
255	2616	7604
256	2624	7587
257	2632	7571
258	2639	7552
259	2648	7537
260	2655	7518
261	2663	7503
262	2672	7487
263	2681	7474
264	2688	7455
265	2696	7439
266	2704	7423
267	2711	7407
268	2719	7390
269	2729	7380
270	2737	7365
271	2746	7352
272	2753	7333
273	2762	7319
274	2770	7304
275	2778	7289
276	2786	7272
277	2794	7257
278	2802	7241
279	2810	7228
280	2819	7214
281	2827	7199
282	2835	7183
283	2843	7168
284	2850	7150
285	2858	7135
286	2867	7123
287	2875	7109
288	2882	7091
289	2890	7077
290	2898	7062
291	2907	7050
292	2915	7036
293	2924	7021
294	2931	7006
295	2941	6996
296	2951	6985
297	2960	6974
298	2967	6956
299	2979	6953
300	2988	6939
301	2997	6927
302	3006	6915
303	3014	6901
304	3024	6891
305	3032	6877
306	3042	6867
307	3050	6853
308	3059	6842
309	3067	6828
310	3078	6820
311	3087	6809
312	3096	6796
313	3105	6784
314	3112	6768
315	3121	6756
316	3129	6743
317	3138	6731
318	3146	6717
319	3154	6703
320	3162	6689
321	3170	6676
322	3180	6666
323	3189	6654
324	3196	6638
325	3205	6626
326	3213	6612
327	3221	6600
328	3229	6587
329	3251	6602
330	3265	6599
331	3276	6592
332	3285	6580
333	3294	6568
334	3302	6556
335	3309	6540
336	3317	6527
337	3324	6511
338	3332	6498
339	3341	6486
340	3351	6476
341	3360	6465
342	3369	6454
343	3377	6441
344	3386	6429
345	3394	6415
346	3402	6403
347	3410	6390
348	3420	6379
349	3428	6366
350	3436	6353
351	3442	6338
352	3451	6326
353	3458	6310
354	3466	6297
355	3472	6282
356	3481	6270
357	3488	6256
358	3497	6245
359	3506	6234
360	3515	6223
361	3522	6208
362	3531	6196
363	3538	6183
364	3548	6172
365	3556	6160
366	3564	6148
367	3571	6134
368	3580	6123
369	3588	6109
370	3596	6098
371	3605	6086
372	3613	6074
373	3620	6060
374	3628	6048
375	3635	6033
376	3644	6023
377	3651	6009
378	3659	5996
379	3667	5983
380	3676	5972
381	3684	5961
382	3693	5950
383	3702	5940
384	3711	5929
385	3718	5915
386	3726	5902
387	3735	5892
388	3747	5885
389	3755	5873
390	3765	5864
