,MAE,MSE,RMSE,MAPE,R-Squared (R2),Adjusted R-Squared,RSE
Lasso Regression,2.2529582059164968,14.265625096051565,3.7769862451499034,0.035667212577906504,0.9986640894762064,0.9986596020932577,3.783559004308423
LightGBM,2.087122736295234,14.593659034987565,3.8201647916009547,0.02159796787241345,0.9986333705986083,0.9986287800295816,3.8268126906112547
Gradient Boosting (Sklearn),2.299954931111882,15.344138196413828,3.9171594550661104,0.02548977401105636,0.998563091658647,0.9985582650195307,3.923976145414594
XGBoost,2.1657598115148717,15.494264574343891,3.936275469824729,0.023977483808335056,0.9985490330101948,0.9985441591474522,3.943125426103487
Random Forest,2.1918897222910987,16.250679456757997,4.031213149506981,0.021255131688870475,0.9984781982171194,0.9984730864171519,4.038228317534768
Ridge Regression,3.0911209456561664,17.916918167146065,4.232838074760959,0.0731665620042401,0.9983221625850758,0.9983165266544708,4.240204113029735
Linear Regression,3.1085970952264215,18.003231137857988,4.243021463280381,0.07397024433194951,0.9983140797702578,0.9983084166891179,4.2504052228104525
CatBoost,2.6455273431790665,19.624564186149314,4.429962097597373,0.03183955521630816,0.9981622493480223,0.9981560762617318,4.437671173579915
Decision Tree,3.1407029506570785,36.354041024051575,6.029431235535536,0.03071365917806961,0.9965956103809364,0.9965841748845797,6.03992372790956
SVR (Support Vector),5.296603501375389,54.64634637437592,7.392316712261179,0.17424765773475168,0.9948826196737359,0.9948654301652998,7.4051809151519326
Elastic Net,7.015220636468285,74.9118993185852,8.655166048007699,0.21203100057268318,0.9929848433571441,0.9929612791335366,8.670227877259421
K-Nearest Neighbors,4.046882469625588,107.93767313612696,10.389305710013877,0.04161474460943922,0.9898921307348638,0.9898581779518135,10.407385311003646
AdaBoost,36.360559014183615,1649.102739865625,40.6091460125133,1.3244618446423457,0.8455690731972932,0.84505033283605,40.67981456120504
